fieldId,fov,ra,dec,gl,gb,el,eb
240,3.5,128.520374,-65.499803,-79.81035,-14.779589,-165.957053,-74.564948
241,3.5,200.520389,-65.499798,-53.895134,-2.817008,-128.031176,-50.991601
242,3.5,159.479611,-65.499798,-70.334046,-6.127089,-149.452795,-63.214361
243,3.5,303.479693,-65.499777,-29.494556,-33.018155,-71.319648,-44.210116
244,3.5,56.520307,-65.499777,-80.111851,-42.994674,-10.963691,-76.521991
245,3.5,344.520352,-65.499774,-40.056781,-47.711798,-49.161655,-52.265033
246,3.5,15.479648,-65.499774,-58.816771,-51.592877,-33.018433,-61.510025
247,3.5,252.00006,-65.322362,-35.492572,-12.928972,-100.011519,-42.512362
248,3.5,107.99994,-65.322362,-83.796716,-22.398524,178.792287,-82.58535
249,3.5,323.999989,-65.322333,-32.362933,-41.208848,-59.997058,-47.398382
250,3.5,36.000011,-65.322333,-71.585527,-49.114987,-21.903657,-68.639677
251,3.5,180.0,-65.322329,-62.407077,-2.985163,-139.048687,-56.480069
252,3.5,193.196443,-64.782622,-56.924439,-1.911249,-132.658006,-52.312801
253,3.5,166.803557,-64.782622,-67.882513,-4.122136,-146.810569,-60.312189
254,3.5,238.803536,-64.782609,-39.030651,-8.560795,-107.565888,-43.242228
255,3.5,121.196464,-64.782609,-82.093201,-17.051707,-173.343786,-77.164611
256,3.5,310.803462,-64.782606,-29.276896,-36.172317,-66.926704,-44.568898
257,3.5,49.196538,-64.782606,-78.333125,-45.88767,-12.870556,-73.401314
258,3.5,265.196534,-64.78259,-31.903542,-17.306121,-92.656984,-41.389391
259,3.5,94.803466,-64.78259,-85.537379,-27.753374,140.322499,-87.340533
260,3.5,337.196477,-64.782548,-36.074989,-46.103958,-52.404948,-49.850553
261,3.5,22.803523,-64.782548,-63.903136,-51.81461,-27.877299,-63.602265
262,3.5,245.671117,-63.782152,-36.137466,-9.870254,-104.001573,-41.527104
263,3.5,114.328883,-63.782152,-84.37832,-19.32281,176.14225,-79.488593
264,3.5,186.328963,-63.782148,-59.948629,-1.056594,-137.490008,-53.487302
265,3.5,173.671037,-63.782148,-65.423186,-2.162457,-144.52129,-57.401689
266,3.5,258.329072,-63.78214,-32.571778,-14.231005,-96.69262,-40.617172
267,3.5,101.670928,-63.78214,-86.147017,-24.659715,155.898619,-84.378554
268,3.5,317.671158,-63.78212,-29.111394,-39.31132,-62.52003,-44.810432
269,3.5,42.328842,-63.78212,-76.298719,-48.710577,-14.338053,-70.292791
270,3.5,330.328938,-63.782083,-32.391043,-44.332151,-55.382026,-47.400806
271,3.5,29.671062,-63.782083,-68.98242,-51.762562,-22.073206,-65.517
272,3.5,212.441111,-63.578386,-48.486055,-2.019333,-123.069775,-46.610766
273,3.5,147.558889,-63.578386,-75.669835,-7.457895,-159.859519,-66.43341
274,3.5,356.441039,-63.578381,-45.274958,-52.020015,-40.598735,-54.160662
275,3.5,3.558961,-63.578381,-50.197057,-53.050754,-36.618152,-56.370503
276,3.5,291.558932,-63.578375,-27.213495,-27.920902,-77.404498,-41.074239
277,3.5,68.441068,-63.578375,-85.346708,-39.212416,8.2397,-80.491914
278,3.5,219.558952,-63.578369,-45.517701,-3.127499,-119.036574,-45.147618
279,3.5,140.441048,-63.578369,-78.023836,-9.603221,-164.265336,-69.127124
